%time,field.O_x,field.O_y,field.O_t,field.I_t,field.G_x,field.G_y
82,0.975616,-0.981976,0.32981,0.238182,0.97411,-0.970842
83,0.975616,-0.981976,0.32981,0.238213,0.97411,-0.970842
84,0.975616,-0.981976,0.32981,0.238531,0.97411,-0.970842
85,0.975616,-0.981976,0.32981,0.238682,0.97411,-0.970842
86,0.975616,-0.981976,0.32981,0.238677,0.97411,-0.970842
87,0.975616,-0.981976,0.32981,0.238663,0.97411,-0.970842
88,0.975616,-0.981976,0.32981,0.238654,0.97411,-0.970842
89,0.975616,-0.981976,0.32981,0.238726,0.975759,-0.967608
90,0.975616,-0.981976,0.32981,0.238885,0.976524,-0.966108
91,0.975616,-0.981976,0.32981,0.238821,0.97683,-0.965508
92,0.975616,-0.981976,0.32981,0.238905,0.97683,-0.965508
93,0.975616,-0.981976,0.32981,0.239016,0.97683,-0.965508
94,0.975616,-0.981976,0.32981,0.239068,0.97683,-0.965508
95,0.975616,-0.981976,0.32981,0.239069,0.97683,-0.965508
96,0.975616,-0.981976,0.32981,0.239018,0.97683,-0.965508
97,0.975616,-0.981976,0.32981,0.23896,0.97683,-0.965508
98,0.975616,-0.981976,0.32981,0.238911,0.974771,-0.96587
99,0.975616,-0.981976,0.32981,0.23896,0.974116,-0.965985
100,0.975616,-0.981976,0.32981,0.239058,0.97343,-0.966106
101,0.975616,-0.981976,0.32981,0.239025,0.97343,-0.966106
102,0.975616,-0.981976,0.32981,0.239152,0.97343,-0.966106
103,0.975616,-0.981976,0.32981,0.238884,0.97343,-0.966106
104,0.975616,-0.981976,0.32981,0.2388,0.97343,-0.966106
105,0.975616,-0.981976,0.32981,0.238774,0.975494,-0.966106
106,0.975616,-0.981976,0.32981,0.23877,0.975846,-0.966106
107,0.975616,-0.981976,0.32981,0.238297,0.976839,-0.966107
108,0.975616,-0.981976,0.32981,0.238387,0.976839,-0.966107
109,0.975616,-0.981976,0.32981,0.238201,0.976839,-0.966107
110,0.975616,-0.981976,0.32981,0.23823,0.976839,-0.966107
111,0.975616,-0.981976,0.32981,0.238067,0.974279,-0.966143
112,0.975616,-0.981976,0.32981,0.238073,0.972824,-0.966163
113,0.975616,-0.981976,0.32981,0.238159,0.972824,-0.966163
114,0.975616,-0.981976,0.32981,0.238261,0.972824,-0.966163
115,0.975616,-0.981976,0.32981,0.238484,0.972824,-0.966163
116,0.975616,-0.981976,0.32981,0.238699,0.972824,-0.966163
